date,price,quantity
2023-06-08,70900,19165568
2023-06-07,71000,14796613
2023-06-05,71700,12686829
2023-06-02,72200,12161798
2023-06-01,70900,14669296
2023-05-31,71400,25666087
2023-05-30,72300,27476897
2023-05-26,70300,19549511
2023-05-25,68800,14231160
2023-05-24,68500,8192896
2023-05-23,68400,8561643
2023-05-22,68500,14470308
2023-05-19,68400,20349345
2023-05-18,66200,14431704
2023-05-17,65000,10745504
2023-05-16,65400,12334657
2023-05-15,64500,8172021
2023-05-12,64100,8693913
2023-05-11,64200,11648905
2023-05-10,64600,13057727
2023-05-09,65300,9366861
2023-05-08,65900,9405365
2023-05-04,65100,9791064
2023-05-03,65400,8876749
2023-05-02,65700,14396948
2023-04-28,65500,19699481
2023-04-27,64600,14779601
2023-04-26,64100,12664541
2023-04-25,63600,16193271
2023-04-24,65200,12986581
2023-04-21,65700,10538622
2023-04-20,65300,9501169
2023-04-19,65500,10255985
2023-04-18,65600,14802060
2023-04-17,65300,13486618
2023-04-14,65100,16176490
2023-04-13,66100,15091022
2023-04-12,66000,15021313
2023-04-11,65900,16323183
2023-04-10,65700,18777166
2023-04-07,65000,27476120
2023-04-06,62300,14992747
2023-04-05,63900,9176149
2023-04-04,63600,11120514
2023-04-03,63100,11973133
2023-03-31,64000,14094479
2023-03-30,63200,15684377
2023-03-29,62700,11216008
2023-03-28,62900,11614118
2023-03-27,62100,11039331
2023-03-24,63000,18278602
2023-03-23,62300,15381057
2023-03-22,61100,8978591
2023-03-21,60300,8318514
2023-03-20,60200,9618009
2023-03-17,61300,14090110
2023-03-16,59900,10611939
2023-03-15,59800,10482149
2023-03-14,59000,12147346
2023-03-13,60000,12779724
2023-03-10,59500,11902471
2023-03-09,60100,14334499
2023-03-08,60300,14161857
2023-03-07,60700,11473280
2023-03-06,61500,13630602
2023-03-03,60500,10711405
2023-03-02,60800,13095682
2023-02-28,60600,13715861
2023-02-27,60500,11155697
2023-02-24,61300,10308143
2023-02-23,62000,13047099
2023-02-22,61100,11959088
2023-02-21,62100,7665046
2023-02-20,62700,12908073
2023-02-17,62600,10791265
2023-02-16,63700,13798831
2023-02-15,62200,13208103
2023-02-14,63200,9126664
2023-02-13,62900,10730362
2023-02-10,62800,9382576
2023-02-09,63000,12164865
2023-02-08,63100,12243125
2023-02-07,61900,14491039
2023-02-06,61600,15529356
2023-02-03,63800,15194598
2023-02-02,63500,23285983
2023-02-01,61800,18570133
2023-01-31,61000,29746731
2023-01-30,63300,20995234
2023-01-27,64600,18760182
2023-01-26,63900,13278277
2023-01-25,63400,16822710
2023-01-20,61800,9646327
2023-01-19,61500,12808490
2023-01-18,60400,11584041
2023-01-17,61000,9831456
2023-01-16,61100,10039972
2023-01-13,60800,12510328
2023-01-12,60500,16102561
2023-01-11,60500,12310751
2023-01-10,60400,14859797
2023-01-09,60700,18640107
2023-01-06,59000,17334989
2023-01-05,58200,15682826
2023-01-04,57800,20188071
2023-01-03,55400,13547030
2023-01-02,55500,10031448
2022-12-29,55300,11295935
2022-12-28,56600,14665410
2022-12-27,58100,10667027
2022-12-26,57900,6756411
2022-12-23,58100,9829407
2022-12-22,59100,10720630
2022-12-21,58000,10356971
2022-12-20,58600,9284761
2022-12-19,59500,7696187
2022-12-16,59500,13033596
2022-12-15,59300,8716039
2022-12-14,60500,8207485
2022-12-13,59700,9040873
2022-12-12,59500,9036472
2022-12-09,60400,10529632
2022-12-08,59200,12986815
2022-12-07,58900,12100662
2022-12-06,59200,13888300
2022-12-05,60300,13767787
2022-12-02,60400,15331184
2022-12-01,62600,16631445
2022-11-30,62200,19768903
2022-11-29,60600,7014160
2022-11-28,60100,8589032
2022-11-25,61000,6677933
2022-11-24,61400,8125010
2022-11-23,61000,8765050
2022-11-22,60600,9411289
2022-11-21,61400,9378097
2022-11-18,61800,12236503
2022-11-17,61400,13298296
2022-11-16,62700,12909260
2022-11-15,62400,12310986
2022-11-14,61900,15973416
2022-11-11,62900,20037163
2022-11-10,60400,21087633
2022-11-09,62000,14045592
2022-11-08,61800,18273898
2022-11-07,60200,12437246
2022-11-04,59400,12445841
2022-11-03,59200,17492162
2022-11-02,59600,13202919
2022-11-01,60000,17201647
2022-10-31,59400,18999514
2022-10-28,57300,20924937
2022-10-27,59500,21756712
2022-10-26,59400,20824967
2022-10-25,57700,17405678
2022-10-24,57500,16944503
2022-10-21,55900,11456060
2022-10-20,55500,17107653
2022-10-19,55800,12660652
2022-10-18,56500,14820702
2022-10-17,56600,13641878
2022-10-14,56300,12924326
2022-10-13,55200,13784602
2022-10-12,55800,18408910
2022-10-11,55400,21437877
2022-10-07,56200,16886813
2022-10-06,56300,14944446
2022-10-05,56000,22458970
2022-10-04,55200,19148435
2022-09-30,53100,22503249
2022-09-29,52600,13882080
2022-09-28,52900,19991129
2022-09-27,54200,16631289
2022-09-26,53900,15008449
2022-09-23,54500,10555964
2022-09-22,54400,12786510
2022-09-21,55300,11863700
2022-09-20,55800,14041465
2022-09-19,56400,12278653
2022-09-16,56200,13456503
2022-09-15,56000,11664819
2022-09-14,56800,12524961
2022-09-13,58100,17166581
2022-09-08,55600,18000016
2022-09-07,56000,17384854
2022-09-06,57100,7503086
2022-09-05,57100,11425977
2022-09-02,57500,15040310
2022-09-01,58400,14905777
2022-08-31,59700,14203512
2022-08-30,58800,9690044
2022-08-29,58600,9841329
2022-08-26,60000,9499995
2022-08-25,59700,5767902
2022-08-24,59000,8888486
2022-08-23,59100,9041629
2022-08-22,60000,8259865
2022-08-19,60900,6923679
2022-08-18,61500,16372754
2022-08-17,60400,9061518
2022-08-16,61000,15036727
2022-08-12,60200,10786658
2022-08-11,59900,15141941
2022-08-10,59100,18084349
2022-08-09,60000,18251170
2022-08-08,60800,11313150
2022-08-05,61500,9567620
2022-08-04,61500,9125439
2022-08-03,61300,10053861
2022-08-02,61700,13614895
2022-08-01,61300,13154816
2022-07-29,61400,15093120
2022-07-28,61900,10745302
2022-07-27,61800,7320997
2022-07-26,61700,6597211
2022-07-25,61100,9193681
2022-07-22,61300,10261310
2022-07-21,61800,12291374
2022-07-20,60500,16782238
2022-07-19,60900,15248261
2022-07-18,61900,20832517
2022-07-15,60000,18685583
2022-07-14,57500,15067012
2022-07-13,58000,10841315
2022-07-12,58100,9336061
2022-07-11,58800,13042624
2022-07-08,58700,15339271
2022-07-07,58200,21322833
2022-07-06,56400,16820461
2022-07-05,57200,14216539
2022-07-04,57100,17807126
2022-07-01,56200,24982097
2022-06-30,57000,18915142
2022-06-29,58000,14677138
2022-06-28,59400,13540538
2022-06-27,58800,18122236
2022-06-24,58400,23256103
2022-06-23,57400,28338608
2022-06-22,57600,23334687
2022-06-21,58500,25148109
2022-06-20,58700,34111306
2022-06-17,59800,29053450
2022-06-16,60900,23394895
2022-06-15,60700,26811224
2022-06-14,61900,24606419
2022-06-13,62100,22157816
2022-06-10,63800,22193552
2022-06-09,65200,25790725
2022-06-08,65300,12483180
